COUNTY,LN,TOT_DIST,PRED,TRUE,ERROR,INC_PCT
DeKalb County,7590650,29.24715194,12.59261372,12.53141171,0.061202013,15
DeKalb County,7590697,38.81309483,11.73910921,11.77528973,-0.036180519,18
DeKalb County,7590877,24.69656799,12.48180965,12.79385931,-0.312049656,17
DeKalb County,7590947,79.02072778,13.25765426,13.28787782,-0.030223555,7
DeKalb County,7591124,20.2170117,12.5390564,12.52452638,0.014530018,12
DeKalb County,7591226,50.55624981,12.5957611,12.69465266,-0.098891557,6
DeKalb County,7591268,41.8786475,12.73047704,12.89921983,-0.168742787,10
DeKalb County,7591385,32.82559856,12.05670635,11.8277362,0.228970148,22
DeKalb County,7591661,24.27226442,12.53702313,12.91164235,-0.374619214,5
DeKalb County,7591738,32.20471457,12.51490866,12.53537639,-0.020467737,13
DeKalb County,7591873,31.51443861,12.52658796,12.65075847,-0.12417051,4
DeKalb County,7592317,56.71458404,12.19159053,12.21354466,-0.021954135,28
DeKalb County,7592366,44.24119763,12.00317609,11.69524702,0.307929069,-1
DeKalb County,7592621,81.63627071,12.6532191,12.6504379,0.002781201,12
DeKalb County,7592647,21.0048828,13.23655107,13.14705599,0.089495082,5
DeKalb County,7592899,78.4694414,11.62789084,11.76756768,-0.139676846,10
DeKalb County,7593245,49.45517926,11.65317892,11.69524702,-0.042068099,-4
DeKalb County,7593280,18.11121857,12.00834041,12.2010601,-0.192719695,11
DeKalb County,7593694,23.96721379,12.41291435,12.64109656,-0.228182207,2
DeKalb County,7593946,28.42592368,12.42813681,12.47990931,-0.051772502,6
DeKalb County,7593976,50.40980613,13.1966621,12.61153775,0.585124349,3
DeKalb County,7594225,19.2232636,12.5566791,12.62806706,-0.071387958,16
DeKalb County,7594346,27.08635246,13.21710743,13.27250604,-0.055398601,5
DeKalb County,7594553,23.82010395,11.8382291,11.33260191,0.505627184,17
DeKalb County,7594582,33.38737177,12.45027657,12.27839331,0.17188326,1
DeKalb County,7594670,41.56538501,12.69833926,12.66032792,0.038011344,14
DeKalb County,7594880,41.1040175,12.57599747,12.69158046,-0.115582993,5
DeKalb County,7594963,34.81581954,12.71534162,12.76568843,-0.050346817,1
DeKalb County,7595186,15.13984307,12.96220075,13.01700286,-0.05480211,24
DeKalb County,7595314,30.82351296,12.71499241,12.66001041,0.054982007,1
DeKalb County,7595672,32.84550755,11.70036366,11.74403719,-0.043673529,5
DeKalb County,7595675,69.49665151,12.00025483,11.91103022,0.089224613,3
DeKalb County,7596130,19.42797321,12.80046928,12.85448393,-0.054014648,-2
DeKalb County,7596173,20.45307859,12.82543526,12.91164235,-0.086207082,-2
DeKalb County,7596343,67.52359576,12.83133342,12.7662597,0.065073725,12
DeKalb County,7596460,45.1681889,13.01574293,13.08154138,-0.065798451,7
DeKalb County,7596577,21.72473732,12.93761046,13.08834113,-0.150730666,14
DeKalb County,7596646,36.62294854,12.15909396,11.88448902,0.274604939,1
DeKalb County,7596656,48.3703655,12.48278223,12.34539971,0.137382518,-6
DeKalb County,7596664,35.3524097,11.42174042,11.08214255,0.339597875,9
DeKalb County,7596767,52.58029604,12.33591174,12.41714362,-0.081231871,22
DeKalb County,7597453,64.04567179,12.50683772,12.50617724,0.000660487,17
DeKalb County,7597612,24.63239209,11.70722583,11.76756768,-0.060341849,49
DeKalb County,7597742,26.96381334,12.88398287,12.86099861,0.022984252,5
DeKalb County,7598003,33.16183483,13.00609045,12.91164235,0.0944481,9
DeKalb County,7598288,45.47731425,11.6636507,11.46163217,0.202018528,5
DeKalb County,7598504,30.12941948,13.09513748,13.26212532,-0.16698784,0
DeKalb County,7598611,23.26944602,12.39304991,12.60819885,-0.215148941,9
DeKalb County,7598888,18.05641779,12.76087611,12.8346813,-0.073805195,8
DeKalb County,7598896,161.7987154,11.78192255,11.46163217,0.32029038,6
DeKalb County,7599631,89.55899502,13.21749574,13.3710967,-0.153600962,5
DeKalb County,7600015,73.10929804,11.51791742,11.42954386,0.088373566,5
DeKalb County,7600165,32.55092813,12.7762714,12.80765263,-0.031381232,6
DeKalb County,7600190,100.8321618,12.6661143,13.02783289,-0.361718593,3
DeKalb County,7600373,44.75626901,13.20667781,13.34069537,-0.134017558,5
DeKalb County,7600642,14.82561527,13.10410079,12.99453001,0.109570789,1
DeKalb County,7600832,31.62266662,11.45470619,11.28978191,0.164924281,5
DeKalb County,7600841,66.63654267,12.24936072,12.25008953,-0.00072881,0
DeKalb County,7600966,23.40020494,12.7650267,12.91164235,-0.14661565,22
DeKalb County,7601113,22.78192967,13.07138285,13.05835805,0.0130248,18
DeKalb County,7601143,20.91745548,13.54848163,13.46595308,0.08252855,18
DeKalb County,7601173,17.26809937,12.91144421,12.9692122,-0.057767992,-2
DeKalb County,7601194,21.27480577,12.77750446,12.88410619,-0.106601725,20
DeKalb County,7601291,28.91462508,13.20039084,13.19932442,0.001066421,7
DeKalb County,7601420,49.73028985,12.36787892,12.11450545,0.253373472,9
DeKalb County,7601506,59.09870669,13.08126015,13.11231304,-0.031052896,2
DeKalb County,7601537,29.03295226,12.63449633,12.77987307,-0.145376739,3
DeKalb County,7601699,25.45636149,12.53869891,12.53177279,0.006926123,7
DeKalb County,7601990,39.46633714,12.70424712,13.0280527,-0.323805578,10
DeKalb County,7602562,23.92739759,11.71077964,11.35040654,0.360373102,1
DeKalb County,7602800,26.1729879,12.76435015,12.6854076,0.078942544,10
DeKalb County,7602886,17.86495252,12.00432763,11.95440101,0.049926615,5
DeKalb County,7603297,66.44432051,12.28146176,12.31492705,-0.033465295,7
DeKalb County,7603306,16.91133185,12.91242449,12.9360338,-0.023609308,7
DeKalb County,7603318,23.20397038,12.61552457,12.62806706,-0.012542488,1
DeKalb County,7603397,199.7058133,12.85479394,12.77987307,0.074920876,11
DeKalb County,7603468,86.86755515,13.25622383,13.32775021,-0.071526372,10
DeKalb County,7603525,47.81963762,13.08163891,13.08154138,9.75283E-05,1
DeKalb County,7603876,30.11260736,12.67294937,12.66665705,0.006292317,11
DeKalb County,7604141,17.76604498,11.92221373,11.9511804,-0.028966669,16
DeKalb County,7604690,18.72264728,12.67930834,12.95984445,-0.280536106,14
DeKalb County,7604812,69.88788739,13.30280476,13.26212532,0.040679442,5
DeKalb County,7604818,37.72694144,12.65790846,12.73375539,-0.075846925,5
DeKalb County,7604914,71.79613639,11.55577735,11.92503512,-0.369257768,5
DeKalb County,7605280,31.28891116,12.90294282,12.9360338,-0.033090983,6
DeKalb County,7605298,98.87570712,12.26998974,12.19602231,0.073967428,-6
DeKalb County,7605518,20.84341905,12.38200628,12.38546074,-0.00345446,-2
DeKalb County,7605827,45.26910683,11.97743696,11.54248427,0.434952696,18
DeKalb County,7606018,23.54413421,13.15532625,13.01700286,0.138323387,7
DeKalb County,7606046,37.42337335,12.78969677,12.74612692,0.043569851,5
DeKalb County,7606288,37.15411756,13.1502328,12.7367009,0.413531905,5
DeKalb County,7606534,21.12022319,12.96733859,12.7512997,0.216038899,-5
DeKalb County,7606592,48.81147201,13.27861175,13.15192218,0.126689574,5
DeKalb County,7606775,30.71162106,12.65273603,13.07107008,-0.418334053,11
DeKalb County,7606784,20.62038957,12.64714844,12.80077975,-0.153631318,5
DeKalb County,7606823,18.43009765,12.55692284,12.69158046,-0.134657623,0
DeKalb County,7606844,15.64064044,13.10332107,13.07107008,0.032250984,9
DeKalb County,7606958,24.25427829,12.61384052,12.87390202,-0.260061498,12
DeKalb County,7607156,16.7825291,12.48885758,12.61153775,-0.122680171,2
DeKalb County,7607305,17.56739186,12.72412286,12.73375539,-0.009632525,8
DeKalb County,7607423,47.63379173,12.85422617,12.94800999,-0.093783815,1
DeKalb County,7607614,61.99035438,12.70501668,12.55743349,0.147583187,14
DeKalb County,7607692,23.43499422,12.40161583,12.76568843,-0.364072599,4
DeKalb County,7607795,23.68296105,11.58109087,11.7745202,-0.193429332,5
DeKalb County,7607851,28.49987774,12.47090745,12.64432758,-0.173420122,0
DeKalb County,7607951,44.29323077,12.98740492,13.23569206,-0.248287142,2
DeKalb County,7607990,49.11716174,11.46468281,11.62625415,-0.161571344,13
DeKalb County,7608026,26.95230839,12.07505278,12.1070807,-0.032027916,11
DeKalb County,7608331,42.42696322,12.91924607,13.01700286,-0.097756793,7
DeKalb County,7608403,88.88342593,12.77850381,12.8967167,-0.11821289,7
DeKalb County,7608476,32.19788775,11.46224263,11.51192496,-0.04968233,5
DeKalb County,7608500,72.40697455,11.82017663,11.84222921,-0.022052582,43
DeKalb County,7608598,16.96498506,12.66032816,12.60819885,0.052129305,-2
DeKalb County,7608889,14.72470011,12.03405127,12.06104687,-0.026995604,20
DeKalb County,7609346,198.1939243,12.81719548,12.79107767,0.026117811,2
